Heart disease_number,COPD_number,CKD_number,anycondition_number,60-69,High school diploma only 2014-18,Population Aged 60+,70-79,diabetes_number,Obesity_number,county_pop2018_18 and older,TOT_POP,POP_ESTIMATE_2018,50-59,Total Population,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,80+,40-49,White-alone pop,19-Oct,0-9,20-29,30-39,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),POVALL_2018,Total nurse practitioners (2019),Total Specialist Physicians (2019),Bachelor's degree or higher 2014-18,Total physician assistants (2019),Internal Medicine Primary Care (2019),Less than a high school diploma 2014-18,Total Hospitals (2019),ICU Beds_x,GQ_ESTIMATES_2018,Two or more races pop,Black-alone pop,Asian-alone pop,Native American/American Indian-alone pop,N_POP_CHG_2018,Hawaiian/Pacific Islander-alone pop,% Asian-alone,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Upper 95% CI,Percent of adults with a high school diploma only 2014-18,Urban_rural_code
16378,17037,5740,59248,27447,43548,61636,25904,18842,36761,125893,147929,147929,19916,141373,36497,47799,45314,13329,13115,137581,12638,11559,12253,11768,2485,57.50661676,22082,85.84321052,202.1274236,20044,42.31736907,80.53009919,13556,1.507117855,40,2250,2507,4656,2488,640,2417,57,1.681887933,17.6,30.5,13.0,14.3,38.3,4
12381,14110,4960,71512,26087,44514,41495,15505,19664,55398,165863,216072,216072,30707,203291,50035,106276,102789,6596,28533,174163,29769,25513,25527,27835,3487,83.99684779,18846,125.3865989,295.2367465,33943,61.81072386,117.6260205,12535,2.201366663,28,1250,6872,26623,6850,1220,3895,344,3.17023955,24.1,34.8,7.5,8.1,31.6,2
33023,30066,12587,124085,54820,69842,132129,57515,43370,89403,313694,378488,378488,47618,356774,68204,177351,171255,35587,38974,337959,37628,34067,36046,36233,6096,147.1352092,39689,219.6366167,517.1589364,99320,108.2723224,206.0426028,37344,3.856079758,73,4550,4417,28052,5882,1810,6143,368,1.554078333,36.2,29.8,10.5,11.8,25.4,3
5087,6092,1996,27348,9101,17263,17039,6134,7873,20476,55191,70503,70503,9157,68484,16742,29540,28434,3062,8108,54851,8566,8418,9280,8677,1106,27.40766855,11340,40.91289654,96.33398284,7444,20.16846914,38.38066629,6365,0.718292763,27,4988,1427,13013,744,408,678,60,1.055274244,15.6,38.3,9.2,10.0,36.1,5
3575,3936,1355,14744,4295,11171,9739,3968,5098,10302,30390,37489,37489,4474,35675,4698,13955,13419,2205,4231,31577,4123,3827,5335,5031,536,14.57365057,9013,21.7548697,51.22426964,2966,10.72430591,20.40839111,7083,0.381942292,8,3575,481,4731,224,412,237,64,0.597508603,11.4,35.1,11.8,12.8,43.1,5
1727,1962,594,6888,2421,5533,5078,1910,2126,4332,13665,16700,16700,2470,16323,3122,5773,5529,866,1868,14595,1686,1632,1864,1983,244,6.492036719,3679,9.691011335,22.81856819,1158,4.777292238,9.091203594,2557,0.170141542,0,1761,294,1642,69,97,64,3,0.413173653,9.4,32.9,12.6,13.8,44.7,6
52448,59738,22635,345486,103802,175335,171837,57898,98334,249336,735505,950181,950181,123767,912043,204368,487844,470411,29302,113954,577732,111623,124557,144762,140516,17433,369.3778408,134476,551.3901102,1298.309578,183280,271.8139111,517.2628097,65724,9.680554525,412,20814,28365,290505,48120,4301,12539,1158,5.064298276,29.2,35.0,7.1,7.7,27.9,1
18848,21083,7791,113707,38099,56941,68143,23458,29564,77922,249750,315534,315534,40803,309924,77373,145298,140151,12377,33880,217466,39483,37253,50487,39694,5147,122.6621745,43832,183.1044054,431.1397663,55164,90.26336102,171.7714871,19107,3.214697085,120,17839,10682,73229,10752,2838,2276,567,3.407556713,26.4,32.4,7.5,8.2,27.3,3
9859,9814,3722,42082,19866,27619,38651,16251,13814,27769,93183,112067,112067,15194,105015,27435,47077,45173,7764,11890,94080,11573,9343,10010,10176,1904,43.56545383,11450,65.03248906,153.1262564,19894,32.05849157,61.00741995,6500,1.141751628,18,684,2484,12035,2918,448,2130,102,2.603799513,24.4,31.1,10.6,11.6,33.9,3
1053,1235,392,4715,1861,3200,3127,1338,1411,3319,9848,11736,11736,1609,11675,2461,4840,4673,516,1340,9865,1006,1054,1502,1510,167,4.56230796,2343,6.810401738,16.03585128,1537,3.357263575,6.388884155,1768,0.119567733,0,1464,233,1455,57,117,-16,9,0.485685072,17.1,35.1,10.7,11.8,35.7,6
3376,3830,1515,19165,6037,11756,10880,3568,6525,14605,35797,45894,45894,6447,46113,8372,18500,17654,1823,5784,19115,5630,5508,5600,5497,846,17.84104989,10259,26.63229187,62.70870471,5362,13.12868563,24.983934,6638,0.467573409,0,3157,519,25595,335,268,-78,62,0.729942912,16.7,42.0,9.4,10.2,36.6,3
1513,1745,547,7427,2438,5017,4554,1682,2000,4715,14553,18256,18256,2506,17191,3515,6869,6611,937,1965,16650,2318,2044,2427,1939,258,7.096923494,2856,10.59395826,24.94465754,1685,5.222410006,9.938264241,1673,0.185994251,0,1191,330,1023,106,125,391,22,0.580631025,14.2,33.9,10.4,11.4,42.2,3
1405,1469,510,6337,1862,4080,4162,1889,1973,4518,11644,13724,13724,1703,13197,2525,5206,4998,928,1697,10819,1325,997,1583,1740,208,5.335132451,2457,7.964038297,18.75221736,997,3.925961597,7.471118451,2454,0.139821708,0,1462,184,1898,97,712,116,14,0.706791023,9.9,40.0,12.1,13.1,40.6,6
1265,1400,479,6232,2331,4547,3954,1607,1806,4127,13664,16164,16164,2356,16018,3635,6122,5852,725,2144,12902,1413,1365,2125,2098,270,6.283669553,2667,9.379970492,22.0861878,2157,4.623961182,8.799414066,1838,0.164680712,0,2983,319,2755,77,107,42,4,0.476367236,17.7,31.4,9.3,10.2,37.3,4
1202,1377,470,5598,1796,4460,3247,1183,1798,4015,11603,14310,14310,1891,14238,2312,4296,4114,565,1731,9008,1560,1484,2422,1678,182,5.562936854,3209,8.304094144,19.55291682,943,4.093595924,7.790127152,2418,0.145791944,0,2645,330,4700,117,151,-79,4,0.817610063,9.3,35.6,10.4,11.1,44.0,6
2112,2376,833,10366,2706,8304,5531,1985,3197,8323,20104,27245,27245,3130,27326,3019,8789,8322,1182,3227,24095,4032,3862,3992,3129,467,10.59134973,6956,15.81027568,37.22705931,1802,7.793851918,14.83172706,4198,0.277575228,0,1627,457,2035,308,320,43,30,1.130482657,10.4,42.5,10.5,11.3,47.9,5
2936,3227,1225,15424,3790,8806,6808,2675,5079,11350,30592,41556,41556,5095,39064,5736,15599,14652,1400,5061,34753,5826,6179,5996,5534,947,16.15467532,9850,24.11495012,56.78134251,2079,11.88773391,22.6223986,8664,0.423377361,3,696,459,5010,406,845,412,83,0.976994899,8.2,38.2,9.6,10.2,34.8,5
16794,17473,6178,75198,28453,49681,61882,24687,22310,49423,155908,190865,190865,25762,179144,45761,70465,67280,13462,20898,171403,20457,18108,19544,19494,3185,74.19775979,26646,110.7589748,260.7943724,23896,54.59987324,103.9037469,17202,1.944554816,44,1831,4200,11411,2757,928,4081,166,1.444476462,17.5,33.0,10.8,11.8,36.4,2
11879,11603,4277,44391,15842,29677,41387,17595,15100,26324,87454,105424,105424,12004,100177,23220,36472,34716,11303,9249,90075,9960,9745,9967,9759,1756,40.9830227,21577,61.17755563,144.0493852,13240,30.1581591,57.3910807,11910,1.074071972,38,1734,1841,11064,1644,699,1364,101,1.559417211,17.0,31.1,13.6,15.0,38.0,4
